ID	Age	Embarked	Fare	Pclass	Sex	Survived	
562	<48.06668;64.03334)	S	avg	2	male	0	
563	<16.13336;32.10002)	Q	avg	2	female	1	
564	<32.10002;48.06668)	S	avg	2	male	0	
565	<32.10002;48.06668)	S	avg	2	female	1	
566	<16.13336;32.10002)	S	avg	2	male	0	
567	<32.10002;48.06668)	C	avg	2	male	0	
568	<16.13336;32.10002)	S	avg	2	male	0	
569	<16.13336;32.10002)	S	avg	2	male	0	
570	<0.1667;16.13336)	S	very high	2	male	0	
571	<48.06668;64.03334)	S	avg	2	female	1	
572	<16.13336;32.10002)	S	avg	2	male	0	
573	<16.13336;32.10002)	S	avg	2	female	1	
574	<16.13336;32.10002)	S	avg	2	female	1	
575	<16.13336;32.10002)	S	avg	2	male	0	
576	<16.13336;32.10002)	S	avg	2	female	0	
577	<32.10002;48.06668)	S	avg	2	male	0	
578	<16.13336;32.10002)	S	avg	2	female	1	
579	<16.13336;32.10002)	S	avg	2	male	0	
580	<16.13336;32.10002)	S	avg	2	male	0	
581	<16.13336;32.10002)	S	avg	2	female	1	
582		S	very low	2	male	0	
583	<0.1667;16.13336)	S	avg	2	female	1	
584	<32.10002;48.06668)	S	avg	2	female	1	
585	<32.10002;48.06668)	S	avg	2	female	1	
586	<16.13336;32.10002)	S	higher	2	male	0	
587	<16.13336;32.10002)	S	higher	2	female	1	
588	<0.1667;16.13336)	S	higher	2	male	1	
589	<0.1667;16.13336)	S	higher	2	female	1	
590	<16.13336;32.10002)	S	higher	2	female	1	
591	<0.1667;16.13336)	S	higher	2	female	1	
592	<0.1667;16.13336)	S	higher	2	female	1	
593	<32.10002;48.06668)	S	higher	2	male	0	
594	<32.10002;48.06668)	S	higher	2	female	1	
595	<64.03334;80>	S	avg	2	male	0	
596		S	avg	2	male	0	
597	<16.13336;32.10002)	S	avg	2	male	1	
598		S	avg	2	male	1	
599	<16.13336;32.10002)	S	avg	2	female	1	
600	<16.13336;32.10002)	S	avg	2	female	0	
601	<32.10002;48.06668)	S	very low	3	male	0	
602	<0.1667;16.13336)	S	avg	3	male	0	
603	<0.1667;16.13336)	S	avg	3	male	0	
604	<32.10002;48.06668)	S	avg	3	female	1	
605	<0.1667;16.13336)	S	very low	3	female	1	
606	<16.13336;32.10002)	S	very low	3	male	1	
607	<16.13336;32.10002)	S	lower	3	male	1	
608	<16.13336;32.10002)	C	very low	3	female	1	
609	<16.13336;32.10002)	S	very low	3	male	0	
610	<16.13336;32.10002)	S	lower	3	male	0	
611	<32.10002;48.06668)	S	lower	3	female	0	
612	<0.1667;16.13336)	S	lower	3	male	1	
613	<16.13336;32.10002)	S	lower	3	female	1	
614	<16.13336;32.10002)	C	avg	3	male	1	
615	<16.13336;32.10002)	S	lower	3	male	0	
616	<16.13336;32.10002)	S	lower	3	male	0	
617	<16.13336;32.10002)	S	very low	3	male	0	
618	<16.13336;32.10002)	S	very low	3	male	0	
619	<32.10002;48.06668)	S	lower	3	male	0	
620	<16.13336;32.10002)	S	lower	3	male	0	
621	<16.13336;32.10002)	S	higher	3	male	0	
622	<16.13336;32.10002)	S	lower	3	female	1	
623	<0.1667;16.13336)	S	higher	3	male	0	
624	<0.1667;16.13336)	S	higher	3	female	0	
625	<0.1667;16.13336)	S	higher	3	female	0	
626	<16.13336;32.10002)	S	lower	3	female	1	
627	<32.10002;48.06668)	S	very low	3	female	0	
628	<0.1667;16.13336)	S	higher	3	female	0	
629	<0.1667;16.13336)	S	higher	3	female	0	
630	<32.10002;48.06668)	S	higher	3	male	0	
631	<16.13336;32.10002)	S	very low	3	male	1	
632	<16.13336;32.10002)	S	very low	3	male	0	
633	<32.10002;48.06668)	S	higher	3	female	0	
634	<16.13336;32.10002)	S	lower	3	male	0	
635	<16.13336;32.10002)	S	lower	3	male	0	
636	<16.13336;32.10002)	S	avg	3	male	0	
637	<16.13336;32.10002)	S	avg	3	female	0	
638	<16.13336;32.10002)	S	very low	3	male	0	
639	<32.10002;48.06668)	S	very low	3	male	0	
640	<0.1667;16.13336)	S	higher	3	male	0	
641	<0.1667;16.13336)	S	higher	3	male	0	
642	<0.1667;16.13336)	S	higher	3	male	1	
643	<0.1667;16.13336)	S	higher	3	male	0	
644	<0.1667;16.13336)	S	higher	3	female	1	
645	<32.10002;48.06668)	S	higher	3	male	0	
646	<16.13336;32.10002)	S	very low	3	male	1	
647	<32.10002;48.06668)	S	higher	3	female	1	
648	<32.10002;48.06668)	C	very low	3	female	1	
649	<16.13336;32.10002)	C	very low	3	male	0	
650	<16.13336;32.10002)	S	very low	3	male	0	
651	<16.13336;32.10002)	C	avg	3	female	0	
652	<16.13336;32.10002)	C	very low	3	male	0	
653	<16.13336;32.10002)	S	lower	3	male	0	
654	<0.1667;16.13336)	C	very low	3	female	1	
655	<16.13336;32.10002)	C	very low	3	male	0	
656	<16.13336;32.10002)	S	avg	3	male	0	
657	<32.10002;48.06668)	S	avg	3	female	1	
658	<0.1667;16.13336)	C	avg	3	female	1	
659	<0.1667;16.13336)	C	avg	3	female	1	
660	<0.1667;16.13336)	C	avg	3	female	1	
661	<16.13336;32.10002)	C	avg	3	female	1	
662	<16.13336;32.10002)	S	lower	3	female	1	
663	<32.10002;48.06668)	C	very low	3	male	0	
664	<16.13336;32.10002)	S	lower	3	male	0	
665	<16.13336;32.10002)	C	very low	3	male	1	
666	<16.13336;32.10002)	C	avg	3	female	0	
667	<32.10002;48.06668)	C	avg	3	female	0	
668	<16.13336;32.10002)	Q	lower	3	female	0	
669	<16.13336;32.10002)	S	lower	3	male	0	
670	<16.13336;32.10002)	S	lower	3	male	0	
671	<16.13336;32.10002)	S	very low	3	male	0	
672	<16.13336;32.10002)	S	lower	3	male	0	
673		C	very low	3	male	0	
674	<16.13336;32.10002)	C	very low	3	male	0	
675	<16.13336;32.10002)	S	very high	3	male	1	
676	<16.13336;32.10002)	S	very low	3	male	0	
677	<16.13336;32.10002)	S	very low	3	male	0	
678	<16.13336;32.10002)	S	lower	3	male	0	
679	<0.1667;16.13336)	C	avg	3	male	0	
680	<0.1667;16.13336)	C	avg	3	female	0	
681		C	very low	3	male	0	
682		C	avg	3	female	0	
683		Q	very low	3	female	0	
684	<32.10002;48.06668)	Q	avg	3	male	0	
685	<16.13336;32.10002)	Q	avg	3	female	0	
686	<16.13336;32.10002)	S	avg	3	male	0	
687	<16.13336;32.10002)	Q	very low	3	female	1	
688	<16.13336;32.10002)	S	lower	3	female	0	
689	<16.13336;32.10002)	S	very low	3	male	0	
690	<16.13336;32.10002)	S	very low	3	male	0	
691	<16.13336;32.10002)	S	very low	3	male	0	
692	<32.10002;48.06668)	S	lower	3	male	0	
693	<16.13336;32.10002)	Q	very low	3	female	0	
694	<16.13336;32.10002)	Q	very low	3	male	1	
695	<16.13336;32.10002)	Q	very low	3	male	0	
696	<16.13336;32.10002)	Q	lower	3	female	0	
697	<16.13336;32.10002)	S	lower	3	female	0	
698	<16.13336;32.10002)	S	lower	3	female	0	
699	<16.13336;32.10002)	S	lower	3	male	0	
700	<32.10002;48.06668)	S	lower	3	male	0	
701	<16.13336;32.10002)	S	lower	3	male	0	
702	<16.13336;32.10002)	S	lower	3	male	0	
703	<16.13336;32.10002)	Q	very low	3	female	0	
704	<16.13336;32.10002)	Q	very low	3	male	0	
705	<16.13336;32.10002)	S	lower	3	male	0	
706		C	avg	3	male	0	
707		C	avg	3	female	0	
708	<16.13336;32.10002)	S	very low	3	male	0	
709	<16.13336;32.10002)	S	lower	3	male	0	
710	<0.1667;16.13336)	Q	very low	3	female	1	
711	<32.10002;48.06668)	Q	very low	3	female	0	
712	<16.13336;32.10002)	S	very low	3	male	0	
713	<16.13336;32.10002)	S	lower	3	male	0	
714	<16.13336;32.10002)	Q	very low	3	male	0	
715	<16.13336;32.10002)	S	very high	3	male	1	
716	<16.13336;32.10002)	S	lower	3	male	0	
717	<16.13336;32.10002)	C	avg	3	male	0	
718	<16.13336;32.10002)	C	avg	3	male	0	
719	<16.13336;32.10002)	S	very low	3	male	0	
720	<16.13336;32.10002)	S	lower	3	male	1	
721	<16.13336;32.10002)	Q	very low	3	male	0	
722	<32.10002;48.06668)	S	very low	3	male	0	
723	<16.13336;32.10002)	S	very low	3	male	0	
724	<16.13336;32.10002)	Q	very low	3	male	0	
725	<16.13336;32.10002)	Q	very low	3	male	0	
726	<16.13336;32.10002)	Q	very low	3	female	1	
727	<16.13336;32.10002)	Q	very low	3	female	0	
728	<64.03334;80>	Q	very low	3	male	0	
729	<32.10002;48.06668)	S	lower	3	male	0	
730	<32.10002;48.06668)	S	lower	3	male	0	
731	<16.13336;32.10002)	S	lower	3	male	0	
732	<16.13336;32.10002)	S	lower	3	male	0	
733	<16.13336;32.10002)	S	lower	3	male	0	
734	<0.1667;16.13336)	S	avg	3	male	1	
735	<0.1667;16.13336)	S	avg	3	male	1	
736	<32.10002;48.06668)	S	avg	3	female	1	
737	<48.06668;64.03334)	S	very low	3	male	0	
738	<16.13336;32.10002)	S	lower	3	male	0	
739	<16.13336;32.10002)	S	avg	3	female	1	
740	<32.10002;48.06668)	S	avg	3	male	0	
741	<16.13336;32.10002)	S	lower	3	male	0	
742	<16.13336;32.10002)	C	very low	3	male	0	
743	<32.10002;48.06668)	S	lower	3	male	1	
744	<16.13336;32.10002)	S	avg	3	female	0	
745	<16.13336;32.10002)	S	lower	3	male	0	
746	<16.13336;32.10002)	Q	very low	3	female	1	
747	<16.13336;32.10002)	Q	very low	3	male	1	
748	<0.1667;16.13336)	S	avg	3	male	0	
749	<32.10002;48.06668)	S	avg	3	male	0	
750	<16.13336;32.10002)	S	avg	3	female	0	
751	<16.13336;32.10002)	S	lower	3	male	0	
752	<16.13336;32.10002)	S	lower	3	male	0	
753	<16.13336;32.10002)	S	higher	3	male	0	
754	<16.13336;32.10002)	S	lower	3	male	0	
755	<16.13336;32.10002)	S	higher	3	male	0	
756	<16.13336;32.10002)	S	lower	3	male	0	
757		S	avg	3	male	0	
758		S	avg	3	female	1	
759	<32.10002;48.06668)	S	avg	3	male	1	
760	<32.10002;48.06668)	S	avg	3	female	1	
761	<16.13336;32.10002)	S	lower	3	male	1	
762	<0.1667;16.13336)	S	lower	3	male	0	
763	<0.1667;16.13336)	S	avg	3	male	1	
764	<0.1667;16.13336)	S	avg	3	female	1	
765	<16.13336;32.10002)	S	avg	3	male	0	
766	<32.10002;48.06668)	S	avg	3	female	1	
767	<16.13336;32.10002)	S	lower	3	male	0	
768		S	lower	3	male	0	
769		S	lower	3	male	0	
770	<16.13336;32.10002)	S	very low	3	male	0	
771	<32.10002;48.06668)	S	very low	3	male	0	
772	<16.13336;32.10002)	Q	lower	3	female	1	
773	<16.13336;32.10002)	S	lower	3	male	0	
774	<32.10002;48.06668)	S	lower	3	male	0	
775	<32.10002;48.06668)	S	lower	3	male	0	
776		C	very low	3	male	0	
777	<16.13336;32.10002)	Q	very low	3	male	0	
778	<16.13336;32.10002)	S	lower	3	male	1	
779	<16.13336;32.10002)	S	avg	3	female	1	
780	<16.13336;32.10002)	Q	very low	3	female	0	
781	<16.13336;32.10002)	S	lower	3	female	1	
782	<32.10002;48.06668)	C	lower	3	male	0	
783	<64.03334;80>	Q	very low	3	male	0	
784	<16.13336;32.10002)	S	very low	3	male	1	
785	<16.13336;32.10002)	S	avg	3	male	0	
786	<16.13336;32.10002)	S	avg	3	female	1	
787	<16.13336;32.10002)	S	very low	3	male	0	
788	<0.1667;16.13336)	S	very low	3	male	0	
789	<32.10002;48.06668)	S	very low	3	male	0	
790		C	very low	3	male	0	
791	<32.10002;48.06668)	C	very low	3	male	0	
792	<16.13336;32.10002)	C	very low	3	male	0	
793	<0.1667;16.13336)	C	very low	3	male	0	
794	<32.10002;48.06668)	S	very low	3	male	0	
795	<0.1667;16.13336)	S	avg	3	female	1	
796		C	very low	3	male	0	
797	<32.10002;48.06668)	S	avg	3	male	0	
798	<32.10002;48.06668)	Q	very low	3	male	0	
799		S	very low	3	male	1	
800	<16.13336;32.10002)	S	very low	3	male	0	
801		Q	very low	3	female	0	
802		Q	very low	3	male	0	
803		Q	very low	3	male	0	
804	<16.13336;32.10002)	Q	lower	3	male	0	
805		Q	very low	3	male	0	
806		S	very high	3	male	1	
807	<16.13336;32.10002)	S	higher	3	female	0	
808	<0.1667;16.13336)	S	higher	3	female	0	
809		S	lower	3	male	0	
810	<16.13336;32.10002)	S	higher	3	male	0	
811	<0.1667;16.13336)	S	higher	3	male	0	
812	<32.10002;48.06668)	S	higher	3	female	0	
813		Q	very low	3	male	0	
814		S	very low	3	male	0	
815	<16.13336;32.10002)	Q	very low	3	male	0	
816		S	avg	3	male	0	
817		C	lower	3	male	0	
818	<16.13336;32.10002)	S	lower	3	male	0	
819	<0.1667;16.13336)	Q	very low	3	female	1	
820		Q	very low	3	female	1	
821	<0.1667;16.13336)	S	avg	3	male	1	
822	<32.10002;48.06668)	S	avg	3	male	0	
823	<32.10002;48.06668)	S	very low	3	male	0	
824	<16.13336;32.10002)	S	avg	3	female	1	
825	<32.10002;48.06668)	S	very low	3	male	0	
826	<0.1667;16.13336)	S	very high	3	male	0	
827	<0.1667;16.13336)	S	very high	3	male	0	
828	<0.1667;16.13336)	S	very high	3	male	0	
829	<0.1667;16.13336)	S	very high	3	female	0	
830	<0.1667;16.13336)	S	very high	3	female	0	
831	<0.1667;16.13336)	S	very high	3	male	0	
832	<32.10002;48.06668)	S	very high	3	male	0	
833	<32.10002;48.06668)	S	very high	3	female	0	
834	<48.06668;64.03334)	S	lower	3	male	0	
835	<16.13336;32.10002)	S	lower	3	male	0	
836		S	lower	3	male	0	
837	<16.13336;32.10002)	S	lower	3	male	0	
838	<32.10002;48.06668)	S	lower	3	male	0	
839	<16.13336;32.10002)	S	lower	3	male	0	
840	<16.13336;32.10002)	S	very low	3	male	0	
841	<16.13336;32.10002)	S	lower	3	female	0	
842	<16.13336;32.10002)	Q	very low	3	female	0	
843		S	avg	3	male	0	
844		S	avg	3	male	0	
845	<16.13336;32.10002)	S	avg	3	male	0	
846	<16.13336;32.10002)	S	avg	3	female	1	
847	<16.13336;32.10002)	S	lower	3	male	0	
848	<16.13336;32.10002)	C	very low	3	male	0	
849	<32.10002;48.06668)	S	avg	3	male	0	
850	<16.13336;32.10002)	S	lower	3	male	0	
851	<16.13336;32.10002)	S	lower	3	male	0	
852	<32.10002;48.06668)	S	avg	3	female	1	
853		S	very low	3	female	0	
854	<16.13336;32.10002)	S	very low	3	male	0	
855		Q	very low	3	male	0	
856	<0.1667;16.13336)	C	avg	3	male	0	
857		Q	very low	3	female	1	
858	<16.13336;32.10002)	S	very low	3	male	1	
859		S	very high	3	male	1	
860	<16.13336;32.10002)	Q	very low	3	female	0	
861	<16.13336;32.10002)	S	lower	3	female	1	
862	<16.13336;32.10002)	S	lower	3	female	0	
863	<16.13336;32.10002)	S	lower	3	female	1	
864	<16.13336;32.10002)	S	lower	3	male	0	
865	<16.13336;32.10002)	S	very low	3	female	0	
866		Q	very low	3	female	0	
867	<0.1667;16.13336)	S	avg	3	female	1	
868	<16.13336;32.10002)	S	avg	3	female	1	
869	<32.10002;48.06668)	S	very low	3	male	0	
870	<16.13336;32.10002)	S	higher	3	male	0	
871	<16.13336;32.10002)	S	lower	3	female	1	
872		Q	very low	3	male	0	
873		S	lower	3	female	1	
874	<32.10002;48.06668)	S	very low	3	male	0	
875		S	lower	3	male	1	
876	<16.13336;32.10002)	C	very low	3	male	0	
877		S	lower	3	male	0	
878	<16.13336;32.10002)	S	lower	3	female	0	
879	<16.13336;32.10002)	S	lower	3	female	0	
880		S	lower	3	male	0	
881	<16.13336;32.10002)	C	lower	3	male	1	
882	<16.13336;32.10002)	S	very low	3	male	1	
883		S	very low	3	male	0	
884	<16.13336;32.10002)	S	lower	3	male	0	
885	<32.10002;48.06668)	S	lower	3	male	0	
886	<16.13336;32.10002)	S	very low	3	male	0	
887		Q	very low	3	female	1	
888		S	lower	3	male	1	
889	<32.10002;48.06668)	S	very low	3	male	0	
890	<16.13336;32.10002)	S	very low	3	male	1	
891	<16.13336;32.10002)	S	very low	3	male	0	
892	<32.10002;48.06668)	S	lower	3	male	0	
893	<16.13336;32.10002)	S	very low	3	male	0	
894	<16.13336;32.10002)	S	lower	3	male	0	
895	<0.1667;16.13336)	S	avg	3	male	1	
896	<0.1667;16.13336)	S	avg	3	female	1	
897	<48.06668;64.03334)	S	very low	3	male	0	
898	<32.10002;48.06668)	S	very low	3	male	0	
899	<16.13336;32.10002)	S	very low	3	male	0	
900	<16.13336;32.10002)	S	avg	3	female	1	
901		S	higher	3	male	0	
902		S	higher	3	female	0	
903		S	higher	3	male	0	
904		S	higher	3	female	0	
905	<16.13336;32.10002)	S	lower	3	male	0	
906	<16.13336;32.10002)	S	lower	3	male	1	
907	<16.13336;32.10002)	S	lower	3	male	0	
908	<16.13336;32.10002)	S	lower	3	female	0	
909	<16.13336;32.10002)	S	lower	3	female	0	
910	<16.13336;32.10002)	S	lower	3	male	1	
911	<16.13336;32.10002)	S	very low	3	male	0	
912	<16.13336;32.10002)	S	lower	3	male	0	
913	<16.13336;32.10002)	S	lower	3	male	0	
914	<16.13336;32.10002)	S	very low	3	male	1	
915	<32.10002;48.06668)	S	lower	3	male	0	
916	<16.13336;32.10002)	S	very low	3	male	0	
917	<0.1667;16.13336)	C	avg	3	female	1	
918	<32.10002;48.06668)	C	avg	3	male	1	
919		C	very low	3	male	0	
920	<16.13336;32.10002)	C	very low	3	male	0	
921		Q	very low	3	male	0	
922		S	very low	3	male	0	
923		Q	very low	3	female	1	
924		Q	very low	3	female	1	
925	<32.10002;48.06668)	Q	very low	3	male	0	
926	<32.10002;48.06668)	S	lower	3	male	0	
927		Q	very low	3	male	1	
928		C	avg	3	male	0	
929		C	avg	3	female	0	
930		Q	very low	3	male	0	
931		Q	very low	3	male	0	
932		Q	very low	3	male	0	
933	<16.13336;32.10002)	S	lower	3	female	0	
934	<16.13336;32.10002)	S	lower	3	male	0	
935	<0.1667;16.13336)	S	higher	3	female	1	
936	<16.13336;32.10002)	S	higher	3	male	1	
937	<16.13336;32.10002)	S	higher	3	female	1	
938	<0.1667;16.13336)	S	avg	3	female	0	
939	<16.13336;32.10002)	S	lower	3	male	0	
940	<32.10002;48.06668)	S	avg	3	female	0	
941		C	lower	3	male	0	
942	<16.13336;32.10002)	C	very low	3	male	1	
943		C	very low	3	male	0	
944	<32.10002;48.06668)	S	lower	3	female	0	
945		S	lower	3	male	0	
946		S	very high	3	male	1	
947		S	very high	3	male	0	
948	<16.13336;32.10002)	S	very low	3	female	1	
949		Q	very low	3	male	0	
950	<16.13336;32.10002)	S	very high	3	male	1	
951	<16.13336;32.10002)	S	lower	3	male	0	
952	<16.13336;32.10002)	S	very low	3	male	0	
953	<16.13336;32.10002)	S	very low	3	male	0	
954	<16.13336;32.10002)	C	very low	3	male	1	
955		S	higher	3	male	0	
956		S	higher	3	female	0	
957		S	higher	3	female	0	
958		S	higher	3	female	0	
959		S	higher	3	female	0	
960	<16.13336;32.10002)	S	lower	3	male	0	
961	<32.10002;48.06668)	C	very low	3	male	0	
962		Q	avg	3	female	0	
963		Q	avg	3	male	0	
964	<32.10002;48.06668)	S	very low	3	male	0	
965	<32.10002;48.06668)	S	higher	3	male	0	
966	<16.13336;32.10002)	S	lower	3	male	0	
967	<16.13336;32.10002)	S	very low	3	female	0	
968	<32.10002;48.06668)	S	very low	3	female	0	
969	<32.10002;48.06668)	S	avg	3	male	0	
970	<16.13336;32.10002)	S	avg	3	female	0	
971	<16.13336;32.10002)	S	lower	3	male	1	
972		Q	lower	3	male	0	
973	<16.13336;32.10002)	S	very high	3	male	0	
974		S	very low	3	male	0	
975	<16.13336;32.10002)	S	avg	3	male	0	
976	<16.13336;32.10002)	S	avg	3	female	0	
977		S	lower	3	male	0	
978	<16.13336;32.10002)	S	very low	3	male	0	
979	<16.13336;32.10002)	S	lower	3	male	1	
980	<48.06668;64.03334)	S	very low	3	male	0	
981	<16.13336;32.10002)	S	lower	3	female	1	
982	<16.13336;32.10002)	S	very low	3	male	1	
983		S	lower	3	male	0	
984		S	very low	3	male	0	
985		Q	very low	3	female	1	
986	<16.13336;32.10002)	S	very low	3	male	1	
987	<16.13336;32.10002)	S	very low	3	male	0	
988		Q	lower	3	female	0	
989		Q	very low	3	male	0	
990		S	lower	3	male	0	
991	<16.13336;32.10002)	S	lower	3	male	0	
992		C	very low	3	male	1	
993	<16.13336;32.10002)	Q	very low	3	female	0	
994		Q	very low	3	female	1	
995		C	very low	3	male	0	
996	<32.10002;48.06668)	C	lower	3	male	0	
997	<32.10002;48.06668)	S	lower	3	male	0	
998		C	very low	3	female	1	
999		C	lower	3	male	0	
1000		Q	very low	3	female	1	
1001		Q	very low	3	male	1	
1002		Q	higher	3	female	1	
1003		Q	higher	3	female	1	
1004		Q	higher	3	male	1	
1005		Q	very low	3	female	1	
1006		Q	avg	3	male	0	
1007		Q	lower	3	female	1	
1008	<0.1667;16.13336)	Q	lower	3	female	1	
1009	<32.10002;48.06668)	Q	very low	3	female	0	
1010		Q	very low	3	male	0	
1011	<16.13336;32.10002)	S	avg	3	male	0	
1012	<16.13336;32.10002)	S	avg	3	female	0	
1013		Q	very low	3	female	0	
1014		S	lower	3	female	0	
1015		S	lower	3	female	0	
1016	<48.06668;64.03334)	S	lower	3	male	0	
1017		Q	very low	3	male	0	
1018	<16.13336;32.10002)	S	very low	3	male	1	
1019		S	lower	3	male	0	
1020	<16.13336;32.10002)	S	lower	3	male	0	
1021	<16.13336;32.10002)	S	lower	3	male	0	
1022	<16.13336;32.10002)	S	lower	3	male	0	
1023		S	lower	3	male	0	
1024		Q	lower	3	female	1	
1025	<16.13336;32.10002)	S	very low	3	male	0	
1026	<0.1667;16.13336)	S	avg	3	male	1	
1027	<16.13336;32.10002)	S	avg	3	female	1	
1028		S	lower	3	male	0	
1029		Q	higher	3	female	1	
1030		Q	higher	3	male	0	
1031		Q	lower	3	male	0	
1032	<32.10002;48.06668)	S	lower	3	male	0	
1033		Q	very low	3	male	0	
1034		S	very low	3	male	1	
1035		C	avg	3	male	1	
1036		C	avg	3	male	1	
1037		C	avg	3	female	1	
1038		C	very low	3	female	1	
1039		S	lower	3	male	0	
1040		Q	very low	3	female	1	
1041	<16.13336;32.10002)	Q	very low	3	female	1	
1042		S	lower	3	male	0	
1043		Q	avg	3	female	1	
1044		Q	avg	3	female	1	
1045		Q	avg	3	female	1	
1046	<16.13336;32.10002)	S	very low	3	male	0	
1047	<16.13336;32.10002)	S	lower	3	male	0	
1048	<0.1667;16.13336)	C	very low	3	female	1	
1049	<0.1667;16.13336)	C	avg	3	female	1	
1050	<16.13336;32.10002)	C	avg	3	male	1	
1051	<16.13336;32.10002)	C	avg	3	female	1	
1052	<32.10002;48.06668)	S	lower	3	male	0	
1053		S	lower	3	male	0	
1054		C	very low	3	male	0	
1055		Q	very low	3	female	0	
1056		S	lower	3	male	0	
1057	<0.1667;16.13336)	C	avg	3	male	1	
1058	<0.1667;16.13336)	C	avg	3	female	1	
1059	<16.13336;32.10002)	S	lower	3	female	0	
1060	<16.13336;32.10002)	S	lower	3	male	0	
1061	<16.13336;32.10002)	S	very low	3	female	1	
1062	<16.13336;32.10002)	S	lower	3	female	1	
1063	<16.13336;32.10002)	S	lower	3	male	0	
1064	<32.10002;48.06668)	S	very low	3	male	0	
1065	<32.10002;48.06668)	S	lower	3	male	1	
1066	<16.13336;32.10002)	S	very low	3	male	0	
1067	<16.13336;32.10002)	C	very low	3	male	0	
1068	<16.13336;32.10002)	S	very low	3	female	1	
1069	<48.06668;64.03334)	S	very low	3	male	0	
1070		Q	avg	3	male	0	
1071		Q	very low	3	male	0	
1072		Q	avg	3	female	1	
1073		Q	very low	3	male	0	
1074		Q	very low	3	male	0	
1075		Q	very low	3	male	0	
1076	<16.13336;32.10002)	S	lower	3	male	0	
1077		Q	very low	3	female	0	
1078		Q	very low	3	female	1	
1079		Q	lower	3	female	1	
1080	<16.13336;32.10002)	S	very low	3	female	1	
1081		Q	very low	3	male	1	
1082		Q	very low	3	female	1	
1083	<0.1667;16.13336)	S	very low	3	male	1	
1084	<16.13336;32.10002)	S	higher	3	male	0	
1085	<32.10002;48.06668)	S	lower	3	male	0	
1086		S	very low	3	male	0	
1087	<16.13336;32.10002)	S	lower	3	female	0	
1088	<16.13336;32.10002)	S	lower	3	male	0	
1089	<16.13336;32.10002)	S	very low	3	male	1	
1090	<16.13336;32.10002)	S	lower	3	male	0	
1091	<16.13336;32.10002)	S	lower	3	female	0	
1092	<16.13336;32.10002)	S	lower	3	female	0	
1093	<16.13336;32.10002)	S	lower	3	male	0	
1094	<0.1667;16.13336)	S	lower	3	male	0	
1095	<16.13336;32.10002)	S	lower	3	female	1	
1096		Q	very low	3	female	0	
1097	<0.1667;16.13336)	S	avg	3	male	0	
1098	<0.1667;16.13336)	S	avg	3	male	0	
1099	<0.1667;16.13336)	S	avg	3	female	0	
1100	<0.1667;16.13336)	S	avg	3	female	0	
1101	<16.13336;32.10002)	S	avg	3	female	0	
1102	<0.1667;16.13336)	S	higher	3	male	0	
1103	<0.1667;16.13336)	S	higher	3	male	0	
1104	<0.1667;16.13336)	S	higher	3	male	0	
1105	<0.1667;16.13336)	S	higher	3	male	0	
1106	<0.1667;16.13336)	S	higher	3	male	0	
1107	<32.10002;48.06668)	S	higher	3	female	0	
1108	<16.13336;32.10002)	S	lower	3	male	0	
1109	<16.13336;32.10002)	S	avg	3	male	0	
1110		C	lower	3	male	0	
1111	<16.13336;32.10002)	S	lower	3	male	0	
1112	<0.1667;16.13336)	S	avg	3	male	0	
1113	<0.1667;16.13336)	S	avg	3	female	0	
1114	<16.13336;32.10002)	S	avg	3	female	0	
1115		S	very low	3	male	0	
1116		S	very low	3	male	0	
1117		S	lower	3	male	0	
1118	<16.13336;32.10002)	S	lower	3	male	0	
1119	<16.13336;32.10002)	S	lower	3	male	0	
1120	<16.13336;32.10002)	S	very low	3	male	0	
1121	<16.13336;32.10002)	S	very low	3	male	1	
1122		C	higher	3	male	1	
1123		C	higher	3	female	1	
1124		C	higher	3	female	1	
1125		Q	lower	3	female	0	
1126	<16.13336;32.10002)	S	lower	3	male	0	
1127	<16.13336;32.10002)	S	lower	3	female	0	
1128	<16.13336;32.10002)	S	lower	3	male	0	
1129		S	lower	3	male	0	
1130	<16.13336;32.10002)	S	very low	3	male	0	
1131	<16.13336;32.10002)	S	very low	3	female	0	
1132	<16.13336;32.10002)	S	lower	3	male	1	
1133		S	lower	3	male	0	
1134	<16.13336;32.10002)	S	lower	3	male	0	
1135	<16.13336;32.10002)	S	lower	3	male	0	
1136		S	lower	3	male	0	
1137		S	lower	3	female	0	
1138		C	very low	3	male	0	
1139		S	very low	3	male	0	
1140	<32.10002;48.06668)	S	lower	3	male	0	
1141	<16.13336;32.10002)	S	lower	3	male	0	
1142	<0.1667;16.13336)	Q	higher	3	male	0	
1143	<0.1667;16.13336)	Q	higher	3	male	0	
1144	<0.1667;16.13336)	Q	higher	3	male	0	
1145	<0.1667;16.13336)	Q	higher	3	male	0	
1146	<0.1667;16.13336)	Q	higher	3	male	0	
1147	<32.10002;48.06668)	Q	higher	3	female	0	
1148	<16.13336;32.10002)	S	higher	3	female	0	
1149	<32.10002;48.06668)	S	very low	3	male	0	
1150		Q	very low	3	female	1	
1151		S	avg	3	male	0	
1152		S	avg	3	female	0	
1153	<48.06668;64.03334)	S	avg	3	male	0	
1154	<32.10002;48.06668)	S	avg	3	female	0	
1155		S	lower	3	male	0	
1156		S	very low	3	male	0	
1157	<0.1667;16.13336)	S	avg	3	female	0	
1158	<16.13336;32.10002)	S	avg	3	male	0	
1159	<32.10002;48.06668)	S	avg	3	female	0	
1160		S	lower	3	female	1	
